CUR,0.018,0.008,0.003,0,0,23.85,0,3,3
CUR,0.018,0.009,0.003,0,0,23.85,0,3,3
CUR,0.018,0.008,0.002,0,0,23.85,0,3,3
CUR,0.018,0.008,0.003,0,0,23.85,0,3,3
CUR,0.018,0.007,0.003,0,0,23.85,0,3,3
CUR,0.018,0.008,0.003,0,0,23.85,0,3,3
CUR,0.013,0.007,0.002,0,0,23.86,0,3,3
CUR,0.018,0.008,0.003,0,0,23.85,0,3,3
CUR,0.018,0.007,0.003,0,0,23.85,0,3,3
CUR,0.024,0.008,0.003,0,0,23.85,0,1,0
CUR,0.018,0.008,0.003,0,0,23.84,0,2,0
CUR,0.899,0.516,0.064,0,12,23.84,173,2,0
CUR,1.109,0.539,0.202,0,29,23.82,1229,2,0
CUR,1.104,0.537,0.204,0,29,23.84,1335,2,0
CUR,1.109,0.532,0.204,0,29,23.81,1347,2,0
CUR,1.109,0.539,0.204,0,29,23.84,1342,2,0
CUR,1.104,0.541,0.204,0,29,23.82,1347,2,0
CUR,1.109,0.538,0.194,0,0,23.84,1324,3,3
CUR,0.018,0.008,0.003,0,0,23.85,224,3,3
CUR,0.018,0.009,0.003,0,0,23.85,95,3,3
CUR,0.018,0.007,0.003,0,0,23.85,4,3,3
CUR,0.018,0.008,0.003,0,0,23.86,0,3,3
CUR,0.018,0.007,0.003,0,0,23.85,0,3,3
CUR,0.018,0.007,0.003,0,0,23.85,0,3,3
CUR,0.018,0.007,0.003,0,0,23.84,0,3,3
CUR,0.018,0.007,0.003,0,0,23.85,0,3,3
CUR,0.013,0.007,0.003,0,0,23.85,0,1,0
CUR,0.018,0.008,0.003,0,0,23.85,0,1,0
CUR,0.222,0.218,0.010,0,3,23.84,0,2,0
CUR,1.087,0.553,0.195,0,29,23.81,1036,2,0
CUR,1.104,0.533,0.204,0,29,23.82,1334,2,0
CUR,1.098,0.538,0.204,0,29,23.84,1344,2,0
CUR,1.109,0.535,0.204,0,29,23.81,1346,2,0
CUR,1.109,0.535,0.204,0,29,23.84,1336,2,0
CUR,1.104,0.537,0.203,0,29,23.84,1347,2,0
CUR,1.071,0.532,0.026,0,0,23.85,315,3,3
CUR,0.018,0.008,0.003,0,0,23.85,13,3,3
CUR,0.018,0.009,0.003,0,0,23.86,0,3,3
CUR,0.018,0.008,0.003,0,0,23.84,0,3,3
CUR,0.018,0.007,0.003,0,0,23.85,0,3,3
CUR,0.018,0.007,0.003,0,0,23.84,0,3,3
CUR,0.018,0.007,0.003,0,0,23.85,0,3,3
CUR,0.018,0.008,0.003,0,0,23.85,0,3,3
CUR,0.018,0.008,0.003,0,0,23.85,0,3,3
CUR,0.018,0.007,0.003,0,0,23.85,0,1,0
CUR,0.018,0.008,0.003,0,0,23.85,0,1,0
CUR,0.233,0.229,0.009,0,3,23.84,0,2,0
CUR,1.093,0.661,0.200,0,29,23.81,1036,2,0
CUR,1.109,0.536,0.203,0,29,23.84,1333,2,0
CUR,1.114,0.537,0.204,0,29,23.82,1346,2,0
CUR,1.114,0.536,0.204,0,29,23.82,1346,2,0
CUR,1.114,0.538,0.203,0,29,23.84,1348,2,0
CUR,1.109,0.535,0.204,0,29,23.81,1347,2,0
CUR,1.087,0.517,0.026,0,0,23.85,203,3,3
CUR,0.018,0.007,0.003,0,0,23.85,10,3,3
CUR,0.018,0.007,0.003,0,0,23.85,0,3,3
CUR,0.018,0.008,0.003,0,0,23.84,0,3,3
CUR,0.018,0.008,0.003,0,0,23.85,0,3,3
CUR,0.013,0.007,0.003,0,0,23.86,0,3,3
CUR,0.018,0.007,0.003,0,0,23.86,0,3,3
CUR,0.018,0.008,0.003,0,0,23.85,0,3,3
CUR,0.018,0.008,0.003,0,0,23.85,0,3,3
CUR,0.018,0.007,0.003,0,0,23.85,0,1,0
CUR,0.018,0.008,0.003,0,0,23.84,0,1,0
CUR,0.905,0.476,0.022,0,5,23.85,0,2,0
CUR,1.109,0.560,0.194,0,29,23.81,1079,2,0
CUR,1.114,0.535,0.202,0,29,23.84,1336,2,0
CUR,1.114,0.535,0.203,0,29,23.82,1348,2,0
CUR,1.109,0.534,0.203,0,29,23.82,1347,2,0
CUR,1.098,0.534,0.203,0,29,23.84,1347,2,0
CUR,1.109,0.535,0.203,0,29,23.82,1346,2,0
CUR,1.104,0.535,0.027,0,0,23.85,262,3,3
CUR,0.018,0.008,0.003,0,0,23.85,21,3,3
CUR,0.018,0.008,0.003,0,0,23.85,0,3,3
CUR,0.018,0.008,0.003,0,0,23.85,0,3,3
CUR,0.013,0.007,0.002,0,0,23.84,0,3,3
CUR,0.018,0.008,0.003,0,0,23.85,0,3,3
CUR,0.018,0.008,0.003,0,0,23.85,0,3,3
CUR,0.018,0.008,0.003,0,0,23.85,0,3,3
CUR,0.018,0.007,0.003,0,0,23.84,0,3,3
CUR,0.018,0.007,0.003,0,0,23.85,0,1,0
CUR,0.018,0.008,0.004,0,0,23.86,0,1,0
CUR,0.131,0.122,0.005,0,3,23.84,0,2,0
CUR,1.104,0.552,0.197,0,29,23.81,1007,2,0
CUR,1.114,0.538,0.203,0,29,23.84,1333,2,0
CUR,1.109,0.542,0.203,0,29,23.81,1347,2,0
CUR,1.114,0.534,0.203,0,29,23.84,1345,2,0
CUR,1.098,0.533,0.203,0,29,23.84,1348,2,0
CUR,1.104,0.530,0.185,0,0,23.84,1291,3,3
CUR,0.013,0.008,0.003,0,0,23.85,192,3,3
CUR,0.018,0.008,0.003,0,0,23.84,26,3,3
CUR,0.018,0.008,0.003,0,0,23.85,1,3,3
CUR,0.018,0.008,0.003,0,0,23.84,0,3,3
CUR,0.018,0.008,0.003,0,0,23.84,0,3,3
CUR,0.018,0.008,0.003,0,0,23.85,0,3,3
CUR,0.018,0.007,0.003,0,0,23.85,0,3,3
CUR,0.018,0.008,0.003,0,0,23.84,0,3,3
CUR,0.018,0.007,0.003,0,0,23.85,0,1,0
CUR,0.018,0.008,0.004,0,0,23.84,0,2,0
CUR,0.851,0.597,0.036,0,6,23.84,4,2,0
CUR,1.087,0.549,0.194,0,29,23.84,1120,2,0
CUR,1.104,0.535,0.202,0,29,23.82,1339,2,0
CUR,1.109,0.533,0.201,0,29,23.84,1346,2,0
CUR,1.114,0.531,0.201,0,29,23.84,1350,2,0
CUR,1.109,0.531,0.200,0,29,23.82,1348,2,0
CUR,1.114,0.533,0.200,0,29,23.84,1350,2,0
CUR,1.104,0.519,0.026,0,0,23.84,157,3,3
CUR,0.018,0.007,0.003,0,0,23.84,6,3,3
CUR,0.018,0.007,0.003,0,0,23.84,0,3,3
CUR,0.018,0.008,0.003,0,0,23.84,0,3,3
CUR,0.018,0.008,0.003,0,0,23.85,0,3,3
CUR,0.018,0.007,0.003,0,0,23.85,0,3,3
CUR,0.018,0.007,0.003,0,0,23.85,0,3,3
CUR,0.018,0.008,0.003,0,0,23.85,0,3,3
CUR,0.018,0.008,0.003,0,0,23.85,0,3,3
CUR,0.018,0.008,0.003,0,0,23.85,0,1,0
CUR,0.018,0.008,0.003,0,0,23.84,0,2,0
CUR,0.910,0.531,0.068,0,13,23.85,189,2,0
CUR,1.114,0.544,0.201,0,29,23.84,1231,2,0
CUR,1.120,0.535,0.202,0,29,23.82,1345,2,0
CUR,1.104,0.532,0.201,0,29,23.82,1346,2,0
CUR,1.109,0.532,0.201,0,29,23.85,1349,2,0
CUR,1.109,0.534,0.200,0,29,23.84,1349,2,0
CUR,1.114,0.532,0.200,0,29,23.82,1350,2,0
CUR,1.109,0.530,0.065,0,0,23.85,284,3,3
CUR,0.018,0.008,0.003,0,0,23.84,12,3,3
CUR,0.018,0.008,0.003,0,0,23.85,0,3,3
CUR,0.018,0.007,0.003,0,0,23.85,0,3,3
CUR,0.018,0.008,0.002,0,0,23.84,0,3,3
CUR,0.018,0.008,0.003,0,0,23.85,0,3,3
CUR,0.018,0.007,0.002,0,0,23.85,0,3,3
CUR,0.018,0.007,0.002,0,0,23.84,0,3,3
CUR,0.013,0.008,0.002,0,0,23.85,0,3,3
CUR,0.018,0.008,0.003,0,0,23.84,0,1,0
CUR,0.018,0.008,0.003,0,0,23.84,0,2,0
CUR,0.894,0.576,0.064,0,12,23.85,156,2,0
CUR,1.104,0.552,0.200,0,29,23.84,1223,2,0
CUR,1.125,0.537,0.201,0,29,23.81,1344,2,0
CUR,1.109,0.534,0.200,0,29,23.84,1344,2,0
CUR,1.114,0.533,0.201,0,29,23.82,1350,2,0
CUR,1.109,0.530,0.200,0,29,23.81,1350,2,0
CUR,1.114,0.534,0.200,0,29,23.84,1350,2,0
CUR,1.104,0.533,0.065,0,0,23.85,342,3,3
CUR,0.018,0.007,0.003,0,0,23.85,14,3,3
CUR,0.018,0.007,0.003,0,0,23.85,0,3,3
CUR,0.018,0.007,0.003,0,0,23.85,0,3,3
CUR,0.018,0.007,0.003,0,0,23.85,0,3,3
CUR,0.018,0.007,0.002,0,0,23.85,0,3,3
CUR,0.018,0.007,0.003,0,0,23.85,0,3,3
CUR,0.018,0.008,0.003,0,0,23.85,0,3,3
CUR,0.018,0.008,0.003,0,0,23.85,0,3,3
CUR,0.018,0.008,0.002,0,0,23.84,0,3,3
CUR,0.013,0.007,0.002,0,0,23.84,0,3,3
CUR,0.018,0.007,0.003,0,0,23.85,0,1,0
CUR,0.018,0.008,0.003,0,0,23.85,0,2,0
CUR,0.867,0.531,0.052,0,10,23.84,101,2,0
CUR,1.109,0.544,0.198,0,29,23.84,1185,2,0
CUR,1.109,0.532,0.201,0,29,23.82,1344,2,0
CUR,1.104,0.532,0.200,0,29,23.81,1350,2,0
CUR,1.120,0.533,0.200,0,29,23.84,1350,2,0
CUR,1.104,0.532,0.200,0,29,23.82,1350,2,0
CUR,1.104,0.533,0.200,0,29,23.81,1350,2,0
CUR,1.120,0.525,0.027,0,0,23.84,232,3,3
CUR,0.018,0.008,0.003,0,0,23.84,12,3,3
CUR,0.018,0.008,0.003,0,0,23.81,0,3,3
CUR,0.018,0.007,0.003,0,0,23.84,0,3,3
CUR,0.013,0.007,0.003,0,0,23.84,0,3,3
CUR,0.018,0.007,0.003,0,0,23.85,0,3,3
CUR,0.018,0.008,0.003,0,0,23.84,0,3,3
CUR,0.018,0.007,0.003,0,0,23.85,0,3,3
CUR,0.018,0.008,0.003,0,0,23.85,0,3,3
CUR,0.018,0.007,0.003,0,0,23.84,0,1,0
CUR,0.018,0.008,0.003,0,0,23.84,0,2,0
CUR,0.873,0.526,0.051,0,10,23.84,93,2,0
CUR,1.093,0.537,0.198,0,29,23.84,1194,2,0
CUR,1.109,0.534,0.200,0,29,23.81,1343,2,0
CUR,1.104,0.530,0.199,0,29,23.82,1351,2,0
CUR,1.120,0.525,0.199,0,29,23.84,1351,2,0
CUR,1.109,0.532,0.200,0,29,23.82,1351,2,0
CUR,1.109,0.531,0.200,0,29,23.81,1350,2,0
CUR,1.098,0.531,0.063,0,0,23.85,347,3,3
CUR,0.018,0.008,0.003,0,0,23.84,23,3,3
CUR,0.018,0.008,0.003,0,0,23.85,1,3,3
CUR,0.018,0.008,0.003,0,0,23.85,0,3,3
CUR,0.018,0.008,0.003,0,0,23.84,0,3,3
CUR,0.018,0.008,0.003,0,0,23.86,0,3,3
CUR,0.018,0.008,0.003,0,0,23.84,0,3,3
CUR,0.018,0.007,0.003,0,0,23.85,0,3,3
CUR,0.018,0.008,0.003,0,0,23.85,0,3,3
CUR,0.018,0.007,0.003,0,0,23.85,0,1,0
CUR,0.018,0.007,0.003,0,0,23.85,0,2,0
CUR,0.846,0.495,0.046,0,9,23.85,62,2,0
CUR,1.098,0.538,0.195,0,29,23.81,1177,2,0
CUR,1.109,0.530,0.199,0,29,23.84,1343,2,0
CUR,1.114,0.529,0.199,0,29,23.84,1350,2,0
CUR,1.120,0.532,0.199,0,29,23.82,1352,2,0
CUR,1.109,0.532,0.200,0,29,23.81,1351,2,0
CUR,1.104,0.531,0.199,0,29,23.82,1351,2,0
CUR,1.093,0.524,0.042,0,0,23.86,297,3,3
CUR,0.018,0.007,0.003,0,0,23.85,33,3,3
CUR,0.013,0.008,0.003,0,0,23.85,1,3,3
CUR,0.013,0.008,0.003,0,0,23.84,0,3,3
CUR,0.018,0.008,0.003,0,0,23.85,0,3,3
CUR,0.018,0.008,0.003,0,0,23.85,0,3,3
CUR,0.018,0.008,0.003,0,0,23.85,0,3,3
CUR,0.018,0.008,0.003,0,0,23.85,0,3,3
CUR,0.018,0.008,0.003,0,0,23.84,0,3,3
CUR,0.018,0.008,0.003,0,0,23.84,0,1,0
CUR,0.018,0.008,0.004,0,0,23.84,0,2,0
CUR,0.921,0.530,0.076,0,14,23.84,232,2,0
CUR,1.109,0.549,0.201,0,29,23.85,1251,2,0
CUR,1.104,0.532,0.200,0,29,23.84,1343,2,0
CUR,1.120,0.532,0.199,0,29,23.81,1351,2,0
CUR,1.120,0.528,0.199,0,29,23.82,1348,2,0
CUR,1.104,0.532,0.199,0,29,23.84,1351,2,0
CUR,1.114,0.531,0.200,0,29,23.84,1347,2,0
CUR,1.104,0.529,0.024,0,0,23.84,231,3,3
CUR,0.018,0.008,0.003,0,0,23.85,39,3,3
CUR,0.018,0.007,0.003,0,0,23.84,1,3,3
CUR,0.018,0.007,0.003,0,0,23.85,0,3,3
CUR,0.018,0.007,0.003,0,0,23.84,0,3,3
CUR,0.018,0.007,0.003,0,0,23.85,0,3,3
CUR,0.018,0.008,0.003,0,0,23.85,0,3,3
CUR,0.018,0.008,0.003,0,0,23.84,0,3,3
CUR,0.018,0.008,0.003,0,0,23.85,0,3,3
CUR,0.018,0.007,0.003,0,0,23.84,0,1,0
CUR,0.018,0.008,0.004,0,0,23.82,0,2,0
